"New Category Structure from October 15, 2019 - US","","","","","",""
"","","","","","",""
"L1","L2","L3","L4","L5","L6","Category ID"
"","","","Candle Holders","","","162991"
"","","","Candlesticks","","","162992"
"","","","Compotes","","","162993"
"","","","Decanters","","","63541"
"","","","Dishes","","","162995"
"","","","Figurines","","","162996"
"","","","Jars","","","63540"
"","","","Jugs","","","162994"
"","","","Perfume Bottles","","","63542"
"","","","Pitchers","","","63543"
"","","","Plates","","","63544"
"","","","Salt & Pepper Shakers","","","162997"
"","","","Stemware","","","63545"
"","","","Vases","","","63546"
"","","","Other Antique Glass","","","2205"
"","","Lamps","","","","63547"
"","","Metalware","","","","1211"
"","","Mirrors","","","","20089"
"","","Picture Frames","","","","40024"
"","","Toleware","","","","1218"
"","","Woodenware","","","","37941"
"","","","Bowls","","","37942"
"","","","Boxes","","","37943"
"","","","Carved Figures","","","162998"
"","","","Trays","","","37944"
"","","","Other Antique Woodenware","","","1219"
"","","Price Guides & Publications","","","","171172"
"","","Other Antique Decorative Arts","","","","73467"
"","Ethnographic","","","","","2207"
"","","African","","","","37945"
"","","","Jewelry","","","163007"
"","","","Masks","","","37946"
"","","","Sculptures & Statues","","","37947"
"","","","Other African Antiques","","","4171"
"","","Latin American","","","","4170"
"","","Native American","","","","4173"
"","","Pacific Islands & Oceania","","","","4172"
"","","Price Guides & Publications","","","","171173"
"","","Other Ethnographic Antiques","","","","2204"
"","Furniture","","","","","20091"
"","","Armoires & Wardrobes","","","","98436"
"","","","Pre-1800","","","98437"
"","","","1800-1899","","","60275"
"","","","1900-1950","","","66858"
"","","","Post-1950","","","162894"
"","","","Unspecified, Unknown Date","","","162895"
"","","Beds & Bedroom Sets","","","","63549"
"","","","Pre-1800","","","63552"
"","","","1800-1899","","","63550"
"","","","1900-1950","","","63551"
"","","","Post-1950","","","156308"
"","","","Unspecified, Unknown Date","","","162887"
"","","Benches & Stools","","","","63553"
"","","","Pre-1800","","","63554"
"","","","1800-1899","","","63555"
"","","","1900-1950","","","63556"
"","","","Post-1950","","","156953"
"","","","Unspecified, Unknown Date","","","162888"
"","","Bookcases","","","","63557"
"","","","Pre-1800","","","63558"
"","","","1800-1899","","","63559"
"","","","1900-1950","","","63560"
"","","","Post-1950","","","156309"
"","","","Unspecified, Unknown Date","","","162889"
"","","Cabinets & Cupboards","","","","63561"
"","","","Pre-1800","","","63562"
"","","","1800-1899","","","63563"
"","","","1900-1950","","","63564"
"","","","Post-1950","","","156310"
"","","","Unspecified, Unknown Date","","","162892"
"","","Chairs","","","","63565"
"","","","Pre-1800","","","63566"
"","","","1800-1899","","","63567"
"","","","1900-1950","","","63568"
"","","","Post-1950","","","156311"
"","","","Unspecified, Unknown Date","","","162893"
"","","Chests & Trunks","","","","98430"
"","","","Pre-1800","","","98431"
"","","","1800-1899","","","66842"
"","","","1900-1950","","","66854"
"","","","Post-1950","","","162890"
"","","","Unspecified, Unknown Date","","","162891"
"","","Desks & Secretaries","","","","63569"
"","","","Pre-1800","","","63570"
"","","","1800-1899","","","63571"
"","","","1900-1950","","","63572"
"","","","Post-1950","","","156312"
"","","","Unspecified, Unknown Date","","","162896"
"","","Dining Sets","","","","63573"
"","","","Pre-1800","","","63574"
"","","","1800-1899","","","63575"
"","","","1900-1950","","","63576"
"","","","Post-1950","","","156313"
"","","","Unspecified, Unknown Date","","","162897"
"","","Dressers & Vanities","","","","63577"
"","","","Pre-1800","","","63578"
"","","","1800-1899","","","63579"
"","","","1900-1950","","","63580"
"","","","Post-1950","","","156314"
"","","","Unspecified, Unknown Date","","","162898"
"","","Hall Trees & Stands","","","","162899"
"","","","Pre-1800","","","162900"
"","","","1800-1899","","","162901"
"","","","1900-1950","","","162902"
"","","","Post-1950","","","162903"
"","","","Unspecified, Unknown Date","","","162904"
"","","Nightstands","","","","162905"
"","","","Pre-1800","","","162906"
"","","","1800-1899","","","162907"
"","","","1900-1950","","","162908"
"","","","Post-1950","","","162909"
"","","","Unspecified, Unknown Date","","","162910"
"","","Sideboards & Buffets","","","","98444"
"","","","Pre-1800","","","98445"
"","","","1800-1899","","","66848"
"","","","1900-1950","","","66862"
"","","","Post-1950","","","162914"
"","","","Unspecified, Unknown Date","","","162915"
"","","Sofas & Chaises","","","","63581"
"","","","Pre-1800","","","63582"
"","","","1800-1899","","","63583"
"","","","1900-1950","","","63584"
"","","","Post-1950","","","156315"
"","","","Unspecified, Unknown Date","","","162911"
"","","Tables","","","","63585"
"","","","Pre-1800","","","63586"
"","","","1800-1899","","","63587"
"","","","1900-1950","","","63588"
"","","","Post-1950","","","156316"
"","","","Unspecified, Unknown Date","","","162912"
"","","Parts & Salvaged Pieces","","","","162913"
"","","Price Guides & Publications","","","","171166"
"","","Other Antique Furniture","","","","63589"
"","Home & Hearth","","","","","163008"
"","","Baby Carriages & Buggies","","","","163009"
"","","Baby Cradles","","","","163010"
"","","Bath Tubs","","","","163011"
"","","Clothing Wringers","","","","163012"
"","","Hearth Ware","","","","163013"
"","","Ice Boxes","","","","163014"
"","","Meat Grinders","","","","163015"
"","","Sinks","","","","163016"
"","","Stoves","","","","163017"
"","","Toasters","","","","163018"
"","","Trivets","","","","151724"
"","","Washing Machines","","","","163057"
"","","Other Antique Home & Hearth","","","","163058"
"","Incunabula","","","","","22422"
"","Linens & Textiles (Pre-1930)","","","","","181677"
"","","Bed & Bath Linens","","","","166291"
"","","","Bedspreads & Coverlets","","","166292"
"","","","Blankets","","","166293"
"","","","Pillowcases","","","166294"
"","","","Sheets","","","166295"
"","","","Towels","","","166296"
"","","","Other Antique Bed & Bath Linen","","","166297"
"","","Embroidery","","","","20117"
"","","Fabric","","","","38000"
"","","","Chenille","","","66639"
"","","","Cotton","","","38001"
"","","","Damask","","","66640"
"","","","Linen","","","66641"
"","","","Silk","","","38002"
"","","","Velvet","","","66642"
"","","","Wool","","","38003"
"","","","Other Antique Fabric","","","73469"
"","","Feed & Flour Sacks","","","","163107"
"","","Handkerchiefs","","","","163108"
"","","Kitchen & Table Linens","","","","39449"
"","","","Napkins","","","39450"
"","","","Placemats","","","163110"
"","","","Runners","","","39451"
"","","","Tablecloths","","","39453"
"","","","Towels","","","39454"
"","","","Other Antique Table Linens","","","2220"
"","","Lace, Crochet & Doilies","","","","39444"
"","","","Collars & Cuffs","","","163109"
"","","","Doilies","","","39445"
"","","","Runners","","","39446"
"","","","Tablecloths","","","39447"
"","","","Trim & Edging","","","39448"
"","","","Other Antique Lace & Crochet","","","2219"
"","","Pillows","","","","63624"
"","","Quilts","","","","63627"
"","","","Completed Quilts","","","2221"
"","","","Quilt Blocks","","","63634"
"","","","Quilt Tops","","","170064"
"","","Samplers","","","","2223"
"","","Tapestries","","","","2224"
"","","Price Guides & Publications","","","","171178"
"","","Other Antique Textiles","","","","362"
"","Manuscripts","","","","","23048"
"","Maps, Atlases & Globes","","","","","37958"
"","","Africa Maps","","","","98448"
"","","Asia Maps","","","","98450"
"","","Australia/Oceania Maps","","","","98462"
"","","Central America/Caribbean Maps","","","","98452"
"","","Europe Maps","","","","98454"
"","","North America Maps","","","","179654"
"","","South America Maps","","","","98464"
"","","World Maps","","","","98466"
"","","Celestial Maps","","","","184438"
"","","Curiosities Maps","","","","184439"
"","","Digital Maps","","","","63595"
"","","World & Celestial Globes","","","","98468"
"","","Map & Globe Mixed Lots","","","","37964"
"","","Map & Globe Reproductions","","","","151725"
"","Maritime","","","","","37965"
"","","Anchors","","","","63615"
"","","Diving Helmets","","","","63617"
"","","Fishing Nets & Floats","","","","37968"
"","","Harpoons","","","","163090"
"","","Maritime Bells, Whistles & Horns","","","","63616"
"","","Maritime Blueprints","","","","163082"
"","","Maritime Cannons & Cannon Balls","","","","184484"
"","","Maritime Cleats & Chocks","","","","163084"
"","","Maritime Clocks","","","","37966"
"","","Maritime Compasses","","","","37967"
"","","Maritime Flags, Ensigns & Pennants","","","","184485"
"","","Maritime Folk Art","","","","156318"
"","","Maritime Lamps & Lighting","","","","37969"
"","","Maritime Navigational Charts","","","","163083"
"","","Maritime Navigational Instruments","","","","37971"
"","","Maritime Parallel Rules","","","","163085"
"","","Maritime Plaques & Signs","","","","163086"
"","","Maritime Portholes & Hatches","","","","63618"
"","","Maritime Price Guides & Publications","","","","171175"
"","","Maritime Propellers","","","","163087"
"","","Maritime Pulleys","","","","163088"
"","","Maritime Reproductions","","","","156319"
"","","Maritime Scrimshaw Replicas","","","","63619"
"","","Maritime Telegraphs","","","","163089"
"","","Maritime Telescopes","","","","37972"
"","","Maritime Wheels","","","","37973"
"","","Model Ships","","","","37970"
"","","Other Maritime Antiques","","","","66638"
"","Mercantile, Trades & Factories","","","","","163091"
"","","Barber Chairs","","","","163092"
"","","Binding, Embossing & Printing","","","","163093"
"","","Cash Register, Adding Machines","","","","163094"
"","","Display Cases","","","","163095"
"","","Industrial Molds","","","","163096"
"","","Safes & Still Banks","","","","163097"
"","","Scales","","","","163098"
"","","Typewriters","","","","163099"
"","","Other Mercantile Antiques","","","","163100"
"","Musical Instruments (Pre-1930)","","","","","181726"
"","","Brass","","","","156320"
"","","Keyboard","","","","37975"
"","","Percussion","","","","37976"
"","","String","","","","181727"
"","","Wind","","","","37977"
"","","Reproductions","","","","156321"
"","","Price Guides & Publications","","","","171176"
"","","Other Antique Instruments","","","","156322"
"","Periods & Styles","","","","","100927"
"","","Aesthetic Movement","","","","100928"
"","","Art Deco","","","","69471"
"","","Art Nouveau","","","","69472"
"","","Arts & Crafts Movement","","","","96768"
"","","Mid-Century Modernism","","","","69473"
"","","Victorian","","","","151738"
"","","Price Guides & Publications","","","","171179"
"","","Other Antique Periods & Styles","","","","163128"
"","Primitives","","","","","1217"
"","Restoration & Care","","","","","163101"
"","","Cleaners & Polish","","","","163102"
"","","Storage & Display","","","","163104"
"","","Other Antique Restoration","","","","163105"
"","Rugs & Carpets","","","","","37978"
"","Science & Medicine (Pre-1930)","","","","","20094"
"","","Apothecary & Pharmaceutical","","","","163022"
"","","","Bottles & Jars","","","163023"
"","","","Mortar & Pestles","","","163024"
"","","","Scales","","","163025"
"","","","Other Antique Apothecary","","","163026"
"","","Dentistry","","","","163027"
"","","Engineering","","","","163028"
"","","Medicine","","","","163029"
"","","","Doctor Bags","","","163030"
"","","","Quack Medicine","","","4069"
"","","","Stethoscopes","","","163031"
"","","","Surgical Sets","","","163032"
"","","","Surgical Tools","","","163033"
"","","","Other Medical Antiques","","","1210"
"","","Mining","","","","170063"
"","","Optical","","","","163034"
"","","Scientific Instruments","","","","163035"
"","","","Barometers","","","163036"
"","","","Microscopes & Lab Equipment","","","163037"
"","","","Other Antique Science Equip","","","361"
"","","Price Guides & Publications","","","","171167"
"","","Other Antique Science, Medical","","","","20095"
"","Sewing (Pre-1930)","","","","","156323"
"","","Baskets & Boxes","","","","156324"
"","","Buttons","","","","156325"
"","","Furniture","","","","156326"
"","","Needles & Cases","","","","156328"
"","","Patterns","","","","156329"
"","","Pin Cushions","","","","167949"
"","","Sewing Machines","","","","156327"
"","","Sewing Machine Parts","","","","163106"
"","","Spools & Thread","","","","156332"
"","","Thimbles","","","","156330"
"","","Tools, Scissors & Measures","","","","167950"
"","","Price Guides & Publications","","","","171177"
"","","Other Antique Sewing","","","","156331"
"","Silver","","","","","20096"
"","","Sterling Silver (.925)","","","","2213"
"","","","Ash Trays","","","105908"
"","","","Bottles, Decanters & Flasks","","","163056"
"","","","Bowls","","","37991"
"","","","Boxes","","","37992"
"","","","Brushes & Grooming Sets","","","105911"
"","","","Candlesticks & Candelabra","","","20103"
"","","","Card Cases","","","105899"
"","","","Cigarette & Vesta Cases","","","105900"
"","","","Creamers & Sugar Bowls","","","163055"
"","","","Cups & Goblets","","","37993"
"","","","Dishes & Coasters","","","63620"
"","","","Flatware & Silverware","","","20104"
"","","","Miniatures","","","63623"
"","","","Mustard Pots","","","113310"
"","","","Napkin Rings & Clips","","","39440"
"","","","Pitchers & Jugs","","","37995"
"","","","Plates & Chargers","","","163272"
"","","","Platters & Trays","","","39441"
"","","","Salt & Pepper Shakers","","","39442"
"","","","Salt Cellars","","","163273"
"","","","Sauce Boats","","","105914"
"","","","Souvenir Spoons","","","63621"
"","","","Sugar Bowls & Tongs","","","63622"
"","","","Tea/Coffee Pots & Sets","","","37998"
"","","","Thimbles","","","107440"
"","","","Vases & Urns","","","39443"
"","","","Vinaigrettes","","","107441"
"","","","Mixed Lots","","","163271"
"","","","Other Antique Sterling Silver","","","1215"
"","","Coin Silver (.900)","","","","20097"
"","","Silver Alloys (.800-.899)","","","","169269"
"","","Silverplate","","","","2212"
"","","","Ash Trays","","","105886"
"","","","Baskets","","","163048"
"","","","Bottles, Decanters & Flasks","","","163049"
"","","","Bowls","","","37985"
"","","","Butter Dishes","","","163050"
"","","","Candlesticks & Candelabra","","","20098"
"","","","Creamers & Sugar Bowls","","","163052"
"","","","Cups & Goblets","","","37986"
"","","","Dishes & Coasters","","","105889"
"","","","Flatware & Silverware","","","20099"
"","","","Napkin Rings & Clips","","","105894"
"","","","Pitchers & Jugs","","","39437"
"","","","Plates & Chargers","","","163053"
"","","","Platters & Trays","","","39438"
"","","","Sauce Boats","","","105896"
"","","","Souvenir Spoons","","","163051"
"","","","Tea/Coffee Pots & Sets","","","37988"
"","","","Vases & Urns","","","39439"
"","","","Mixed Lots","","","163054"
"","","","Other Antique Silverplate","","","1216"
"","","Non-U.S. Silver","","","","151726"
"","","","Asia","","","151732"
"","","","Canada","","","151727"
"","","","France","","","151729"
"","","","Germany","","","151730"
"","","","Mexico","","","151733"
"","","","Middle East","","","156333"
"","","","Russia","","","151736"
"","","","Scandinavia","","","156334"
"","","","Spain","","","151735"
"","","","United Kingdom","","","151728"
"","","","Unspecified, Unknown Origin","","","156335"
"","","","Other Antique Non-U.S. Silver","","","151737"
"","","Unspecified, Unknown Type of Silver","","","","169270"
"","","Price Guides & Publications","","","","171168"
"","Reproduction Antiques","","","","","22608"
"","Other Antiques","","","","","12"
"Art","","","","","","550"
"","Art Posters","","","","","28009"
"","Art Drawings","","","","","552"
"","Art Photographs","","","","","2211"
"","Art Prints","","","","","360"
"","Art Sculptures","","","","","553"
"","Folk Art & Indigenous Art","","","","","357"
"","Mixed Media Art & Collage Art","","","","","554"
"","Paintings","","","","","551"
"","Textile Art & Fiber Art","","","","","156196"
"","Other Art","","","","","20158"
"Baby","","","","","","2984"
"","Baby Gear","","","","","100223"
"","","Activity Centers","","","","20413"
"","","Baby Gyms & Play Mats","","","","19069"
"","","Baby Jumping Exercisers","","","","117032"
"","","Baby Swings","","","","2990"
"","","Bouncers & Vibrating Chairs","","","","117034"
"","","Playpens & Play Yards","","","","2988"
"","","Play Shades & Tents","","","","117033"
"","","Walkers","","","","134282"
"","","Other Baby Gear","","","","100224"
"","Baby Safety & Health","","","","","20433"
"","","Baby Monitors","","","","20435"
"","","Baby Proofing","","","","184339"
"","","","Baby Locks & Latches","","","117027"
"","","","Corner & Edge Cushions","","","162184"
"","","","Outlet Covers","","","134764"
"","","","Stove Guards","","","106803"
"","","","Other Baby Proofing","","","20434"
"","","Baby Thermometers","","","","117026"
"","","Bed Rails","","","","162183"
"","","Car Window Signs & Decals","","","","134762"
"","","Hearing Protection Earmuffs","","","","184343"
"","","Safety Gates","","","","117029"
"","","Shopping Cart Covers","","","","73470"
"","","Toddler Safety Harnesses","","","","134761"
"","","Other Baby Safety & Health","","","","20436"
"","Bathing & Grooming","","","","","20394"
"","","Baby Scales","","","","117016"
"","","Bath Tubs","","","","113814"
"","","Bath Tub Seats & Rings","","","","162024"
"","","Bathing Accessories","","","","100221"
"","","Gift Sets","","","","134756"
"","","Health & Grooming","","","","45452"
"","","Shampoos & Soaps","","","","82563"
"","","Skin Care","","","","20398"
"","","Towels & Washcloths","","","","45453"
"","","Other Baby Bathing & Grooming","","","","45454"
"","Car Safety Seats","","","","","66692"
"","","Booster to 80lbs","","","","66694"
"","","Car Seat Accessories","","","","66693"
"","","Convertible Car Seat 5-40lbs","","","","66695"
"","","Infant Car Seat 5-20 lbs","","","","66696"
"","","Infant Head Support","","","","117030"
"","","Other Car Safety Seats","","","","2987"
"","Carriers, Slings & Backpacks","","","","","100982"
"","Diapering","","","","","45455"
"","","Baby Wipe Warmers","","","","117017"
"","","Baby Wipes","","","","45456"
"","","Changing Pads & Covers","","","","66674"
"","","Cloth Diapers","","","","146531"
"","","Diaper Bags","","","","15558"
"","","Diaper Cakes","","","","117018"
"","","Diaper Coupons","","","","162036"
"","","Diaper Covers","","","","26267"
"","","Diaper Disposal","","","","20397"
"","","Diaper Stackers","","","","134758"
"","","Disposable Diapers","","","","15559"
"","","Swim Diapers","","","","100222"
"","","Other Diapering","","","","20399"
"","Feeding","","","","","20400"
"","","Baby Bibs & Burp Cloths","","","","20408"
"","","Baby Food","","","","162034"
"","","Booster Chairs","","","","134276"
"","","Bottle Feeding","","","","184344"
"","","","Baby Bottles","","","20402"
"","","","Bottle Bags","","","106777"
"","","","Bottle Brushes","","","184345"
"","","","Bottle Drying Racks","","","184346"
"","","","Bottle Nipples","","","162035"
"","","","Bottle Sterilizers","","","106789"
"","","","Formula","","","20403"
"","","","Formula Coupons","","","82228"
"","","","Formula Dispensers","","","184347"
"","","","Sterilizing/Cleaning Supplies","","","184348"
"","","","Other Bottle Feeding","","","184349"
"","","Bottle & Food Warmers","","","","20404"
"","","Breastfeeding/Nursing","","","","23590"
"","","","Electric Breast Pumps","","","23591"
"","","","Manual Breast Pumps","","","157253"
"","","","Breast Pump Parts","","","184350"
"","","","Breast Milk Storage","","","168751"
"","","","Feeding Pillows & Covers","","","160065"
"","","","Nipple Shields/Protectors","","","168752"
"","","","Nursing Covers/Blankets","","","184340"
"","","","Nursing Pads","","","106766"
"","","","Other Breastfeeding Supplies","","","19732"
"","","Cups, Dishes & Utensils","","","","157325"
"","","","Bowls & Plates","","","184341"
"","","","Sippy Cups & Mugs","","","117387"
"","","","Utensils","","","117385"
"","","","Feeding Sets","","","117386"
"","","","Other Baby Dishes","","","106776"
"","","Food Grinders & Blenders","","","","32866"
"","","High Chairs","","","","2986"
"","","Pacifiers & Soothers","","","","32872"
"","","Pacifier Clips & Cases","","","","162032"
"","","Teethers","","","","121627"
"","","Other Baby Feeding","","","","20405"
"","Keepsakes & Baby Announcements","","","","","117388"
"","","Baby Books & Albums","","","","117389"
"","","Baby Boxes","","","","117390"
"","","Baby Picture Frames","","","","117392"
"","","Birth Announcements & Cards","","","","117391"
"","","Handprint Kits","","","","162037"
"","","Tooth Fairy Pillows","","","","162038"
"","","Other Baby Keepsakes","","","","146532"
"","Nursery Bedding","","","","","20416"
"","","Nursery Bedding Sets","","","","162040"
"","","Bed Pillows","","","","180907"
"","","Blankets & Throws","","","","3081"
"","","Bumpers","","","","20417"
"","","Canopies & Netting","","","","180905"
"","","Cribskirts & Dust Ruffles","","","","52345"
"","","Decorative Nursery Pillows","","","","180906"
"","","Duvet Covers & Sets","","","","134278"
"","","Duvet Inserts","","","","18646"
"","","Mattress Pads & Covers","","","","162041"
"","","Pillowcases & Shams","","","","124327"
"","","Quilts & Coverlets","","","","180908"
"","","Sheets & Sets","","","","180909"
"","","Sleeping Bags & Sleepsacks","","","","100989"
"","","Other Nursery Bedding","","","","20421"
"","Nursery Décor","","","","","66697"
"","","Boxes & Storage","","","","117398"
"","","Lamps & Shades","","","","20428"
"","","Mats & Rugs","","","","37632"
"","","Mobiles","","","","20429"
"","","Night Lights","","","","121153"
"","","Picture Frames","","","","33235"
"","","Wall Décor","","","","37633"
"","","","Art & Prints","","","37634"
"","","","Wall Decals & Vinyl Art","","","180505"
"","","","Wall Hangings","","","37635"
"","","","Wallpaper Borders","","","37636"
"","","","Other Nursery Wall Décor","","","20430"
"","","Wall Letters","","","","146534"
"","","Window Treatments","","","","20431"
"","","Other Nursery Décor","","","","98473"
"","Nursery Furniture","","","","","20422"
"","","Bedside Sleepers","","","","121152"
"","","Baby Dressers","","","","134279"
"","","Bassinets & Cradles","","","","20423"
"","","Changing Tables","","","","20424"
"","","Cribs","","","","2985"
"","","Crib Mattresses","","","","117035"
"","","Moses Baskets","","","","94931"
"","","Nursery Furniture Sets","","","","20425"
"","","Rockers, Gliders","","","","66690"
"","","Other Nursery Furniture","","","","20426"
"","Potty Training","","","","","37631"
"","Strollers & Accessories","","","","","66698"
"","","Strollers","","","","66700"
"","","Stroller Accessories","","","","180911"
"","","","Bassinets","","","180912"
"","","","Covers, Canopies & Umbrellas","","","116554"
"","","","Cup Holders & Snack Trays","","","180913"
"","","","Footmuffs","","","116553"
"","","","Hooks","","","180914"
"","","","Organizers & Nets","","","180915"
"","","","Seat Liners","","","180916"
"","","","Stroller Boards","","","112378"
"","","","Other Stroller Accessories","","","180917"
"","","Stroller Parts","","","","121634"
"","","Other Strollers","","","","2989"
"","Toys for Baby","","","","","19068"
"","","Blocks & Sorters","","","","100225"
"","","Crib Toys","","","","100226"
"","","Developmental Baby Toys","","","","100227"
"","","Plush Baby Toys","","","","131084"
"","","Rattles","","","","131081"
"","","Other Toys for Baby","","","","179013"
"","Other Baby","","","","","1261"
"","Wholesale Lots","","","","","48757"
"Books","","","","","","267"
"","Accessories","","","","","45110"
"","","Address Books","","","","45111"
"","","Blank Diaries & Journals","","","","45112"
"","","Book Covers","","","","45113"
"","","Book Lights","","","","120869"
"","","Book Plates","","","","48831"
"","","Book Stands, Holders","","","","162028"
"","","Bookends","","","","162026"
"","","Bookmarks","","","","45114"
"","","Other Book Accessories","","","","45115"
"","Antiquarian & Collectible","","","","","29223"
"","Audiobooks","","","","","29792"
"","Catalogs","","","","","118254"
"","Children & Young Adults","","","","","182882"
"","","Children & YA Fiction","","","","171219"
"","","Children & YA Non-Fiction","","","","171210"
"","Fiction & Literature","","","","","171228"
"","Magazines","","","","","280"
"","Nonfiction","","","","","171243"
"","Textbooks, Education & Reference","","","","","184644"
"","","Adult Learning & University","","","","1105"
"","","Dictionaries & Reference","","","","171273"
"","","Language Courses","","","","11442"
"","","Maps & Atlases","","","","69496"
"","","School Textbooks & Study Guides","","","","171223"
"","Wholesale & Bulk Lots","","","","","29399"
"","","Audiobooks","","","","42939"
"","","Books","","","","46752"
"","","","Up to 5 Items","","","46753"
"","","","6-10 Items","","","52541"
